RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x38) = 0x1e255ae8230L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826360L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ac90c0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x40008 , 0xfc) = 0x1e255ae10f0L
RtlAllocateHeap(0x1e255a80000L , 0x40008 , 0x120) = 0x1e255a913c0L
RtlAllocateHeap(0x1e255a80000L , 0x40008 , 0x50) = 0x1e255aece60L
RtlAllocateHeap(0x1e255a80000L , 0x0 , 0x3c) = 0x1e255ae9db0L
RtlAllocateHeap(0x1e255a80000L , 0x180008 , 0x1d8) = 0x1e255ad1900L
RtlAllocateHeap(0x1e255a80000L , 0x280000 , 0x20) = 0x1e255aed750L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed750L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x280000 , 0x20) = 0x1e255aed4b0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed4b0L) = 0x1
